Team,Criterion,Ref Score,Model Score,Similarity (%)
Team 12,Questions structured (5),5.0,5.0,100.0
Team 12,Questions relevant (5),5.0,5.0,100.0
Team 12,General to specific questions (5),5.0,5.0,100.0
Team 12,Transcript (5),5.0,4.0,80.0
Team 12,Table easy to read (5),4.0,3.0,80.0
Team 12,Products and features are relevant to what customer wants (8),8.0,7.0,87.5
Team 12,Summarizing critical points of interview (10),10.0,8.0,80.0
Team 12,Clear learning points (10),10.0,7.0,70.0
Team 12,Questions the team still has (10),10.0,10.0,100.0
Team 12,Outline of the next steps (10),10.0,10.0,100.0
Team 12,Recording is present (2),0.0,2.0,0.0
Team 13,Structure (10),10.0,10.0,100.0
Team 13,Grammar (2),2.0,1.0,50.0
Team 13,Roles (5),5.0,5.0,100.0
Team 13,Open and closed questions (5),5.0,5.0,100.0
Team 13,Questions structured (5),5.0,5.0,100.0
Team 13,Questions relevant (5),5.0,5.0,100.0
Team 13,General to specific questions (5),5.0,5.0,100.0
Team 13,Transcript (5),5.0,5.0,100.0
Team 13,Table easy to read (5),3.0,4.0,80.0
Team 13,Products and features are relevant to what customer wants (8),8.0,8.0,100.0
Team 13,Summarizing critical points of interview (10),10.0,10.0,100.0
Team 13,Clear learning points (10),10.0,8.0,80.0
Team 13,Questions the team still has (10),10.0,7.0,70.0
Team 13,Outline of the next steps (10),10.0,8.0,80.0
Team 13,Recording is present (2),0.0,2.0,0.0
Team 14,Structure (10),10.0,9.0,90.0
Team 14,Grammar (2),2.0,1.0,50.0
Team 14,Roles (5),5.0,5.0,100.0
Team 14,Open and closed questions (5),3.0,4.0,80.0
Team 14,Questions structured (5),5.0,4.0,80.0
Team 14,Questions relevant (5),3.0,5.0,60.0
Team 14,General to specific questions (5),5.0,5.0,100.0
Team 14,Transcript (5),3.0,3.0,100.0
Team 14,Table easy to read (5),5.0,4.0,80.0
Team 14,Products and features are relevant to what customer wants (8),6.0,7.0,87.5
Team 14,Summarizing critical points of interview (10),10.0,7.0,70.0
Team 14,Clear learning points (10),10.0,4.0,40.0
Team 14,Questions the team still has (10),8.0,0.0,20.0
Team 14,Outline of the next steps (10),9.0,7.0,80.0
Team 14,Recording is present (2),0.0,0.0,100.0
Team 15,Structure (10),10.0,7.0,70.0
Team 15,Grammar (2),2.0,1.0,50.0
Team 15,Roles (5),5.0,5.0,100.0
Team 15,Open and closed questions (5),5.0,4.0,80.0
Team 15,Questions structured (5),5.0,4.0,80.0
Team 15,Questions relevant (5),5.0,5.0,100.0
Team 15,General to specific questions (5),4.0,4.0,100.0
Team 15,Transcript (5),1.0,4.0,40.0
Team 15,Table easy to read (5),3.0,3.0,100.0
Team 15,Products and features are relevant to what customer wants (8),8.0,8.0,100.0
Team 15,Summarizing critical points of interview (10),10.0,8.0,80.0
Team 15,Clear learning points (10),10.0,5.0,50.0
Team 15,Questions the team still has (10),0.0,0.0,100.0
Team 15,Outline of the next steps (10),4.0,5.0,90.0
Team 15,Recording is present (2),0.0,0.0,100.0
Team 16,Structure (10),9.0,7.0,80.0
Team 16,Grammar (2),2.0,1.5,75.0
Team 16,Roles (5),5.0,5.0,100.0
Team 16,Open and closed questions (5),2.0,5.0,40.0
Team 16,Questions structured (5),3.0,4.0,80.0
Team 16,Questions relevant (5),5.0,5.0,100.0
Team 16,General to specific questions (5),5.0,4.0,80.0
Team 16,Transcript (5),5.0,4.0,80.0
Team 16,Table easy to read (5),5.0,4.0,80.0
Team 16,Products and features are relevant to what customer wants (8),6.0,6.0,100.0
Team 16,Summarizing critical points of interview (10),10.0,7.0,70.0
Team 16,Clear learning points (10),10.0,6.0,60.0
Team 16,Questions the team still has (10),7.0,5.0,80.0
Team 16,Outline of the next steps (10),10.0,8.0,80.0
Team 16,Recording is present (2),0.0,2.0,0.0
Team 17,Structure (10),9.0,10.0,90.0
Team 17,Grammar (2),2.0,2.0,100.0
Team 17,Roles (5),5.0,5.0,100.0
Team 17,Open and closed questions (5),5.0,5.0,100.0
Team 17,Questions structured (5),5.0,5.0,100.0
Team 17,Questions relevant (5),5.0,5.0,100.0
Team 17,General to specific questions (5),5.0,5.0,100.0
Team 17,Transcript (5),5.0,4.0,80.0
Team 17,Table easy to read (5),5.0,4.0,80.0
Team 17,Products and features are relevant to what customer wants (8),6.0,8.0,75.0
Team 17,Summarizing critical points of interview (10),10.0,9.0,90.0
Team 17,Clear learning points (10),10.0,7.0,70.0
Team 17,Questions the team still has (10),10.0,10.0,100.0
Team 17,Outline of the next steps (10),10.0,10.0,100.0
Team 17,Recording is present (2),2.0,2.0,100.0
Team 18,Structure (10),10.0,10.0,100.0
Team 18,Grammar (2),2.0,2.0,100.0
Team 18,Roles (5),5.0,5.0,100.0
Team 18,Open and closed questions (5),4.0,5.0,80.0
Team 18,Questions structured (5),5.0,5.0,100.0
Team 18,Questions relevant (5),5.0,5.0,100.0
Team 18,General to specific questions (5),5.0,5.0,100.0
Team 18,Transcript (5),5.0,5.0,100.0
Team 18,Table easy to read (5),5.0,5.0,100.0
Team 18,Products and features are relevant to what customer wants (8),6.0,8.0,75.0
Team 18,Summarizing critical points of interview (10),10.0,10.0,100.0
Team 18,Clear learning points (10),10.0,10.0,100.0
Team 18,Questions the team still has (10),10.0,10.0,100.0
Team 18,Outline of the next steps (10),10.0,10.0,100.0
Team 18,Recording is present (2),2.0,2.0,100.0
Team 19,Structure (10),9.0,8.0,90.0
Team 19,Grammar (2),2.0,1.5,75.0
Team 19,Roles (5),2.0,1.0,80.0
Team 19,Open and closed questions (5),5.0,5.0,100.0
Team 19,Questions structured (5),3.0,4.0,80.0
Team 19,Questions relevant (5),5.0,5.0,100.0
Team 19,General to specific questions (5),5.0,4.0,80.0
Team 19,Transcript (5),4.0,2.0,60.0
Team 19,Table easy to read (5),5.0,4.0,80.0
Team 19,Products and features are relevant to what customer wants (8),7.0,8.0,87.5
Team 19,Summarizing critical points of interview (10),10.0,9.0,90.0
Team 19,Clear learning points (10),10.0,8.0,80.0
Team 19,Questions the team still has (10),8.0,10.0,80.0
Team 19,Outline of the next steps (10),10.0,10.0,100.0
Team 19,Recording is present (2),2.0,2.0,100.0
Team 20,Structure (10),8.0,8.0,100.0
Team 20,Grammar (2),2.0,1.5,75.0
Team 20,Roles (5),5.0,3.0,60.0
Team 20,Open and closed questions (5),5.0,4.0,80.0
Team 20,Questions structured (5),5.0,4.0,80.0
Team 20,Questions relevant (5),5.0,5.0,100.0
Team 20,General to specific questions (5),5.0,5.0,100.0
Team 20,Transcript (5),2.0,3.0,80.0
Team 20,Table easy to read (5),5.0,4.0,80.0
Team 20,Products and features are relevant to what customer wants (8),8.0,7.0,87.5
Team 20,Summarizing critical points of interview (10),10.0,8.0,80.0
Team 20,Clear learning points (10),10.0,5.0,50.0
Team 20,Questions the team still has (10),2.0,3.0,90.0
Team 20,Outline of the next steps (10),2.0,4.0,80.0
Team 20,Recording is present (2),2.0,2.0,100.0
Team 21,Structure (10),9.0,8.0,90.0
Team 21,Grammar (2),2.0,1.0,50.0
Team 21,Roles (5),5.0,4.0,80.0
Team 21,Open and closed questions (5),3.0,5.0,60.0
Team 21,Questions structured (5),3.0,4.0,80.0
Team 21,Questions relevant (5),3.0,4.0,80.0
Team 21,General to specific questions (5),3.0,3.0,100.0
Team 21,Transcript (5),1.0,4.0,40.0
Team 21,Table easy to read (5),3.0,3.0,100.0
Team 21,Products and features are relevant to what customer wants (8),6.0,7.0,87.5
Team 21,Summarizing critical points of interview (10),10.0,8.0,80.0
Team 21,Clear learning points (10),10.0,7.0,70.0
Team 21,Questions the team still has (10),4.0,5.0,90.0
Team 21,Outline of the next steps (10),8.0,8.0,100.0
Team 21,Recording is present (2),0.0,2.0,0.0
Team 22,Structure (10),8.0,9.0,90.0
Team 22,Grammar (2),2.0,2.0,100.0
Team 22,Roles (5),5.0,5.0,100.0
Team 22,Open and closed questions (5),5.0,5.0,100.0
Team 22,Questions structured (5),5.0,5.0,100.0
Team 22,Questions relevant (5),5.0,5.0,100.0
Team 22,General to specific questions (5),5.0,5.0,100.0
Team 22,Transcript (5),5.0,4.0,80.0
Team 22,Table easy to read (5),5.0,4.0,80.0
Team 22,Products and features are relevant to what customer wants (8),8.0,8.0,100.0
Team 22,Summarizing critical points of interview (10),10.0,10.0,100.0
Team 22,Clear learning points (10),10.0,10.0,100.0
Team 22,Questions the team still has (10),10.0,10.0,100.0
Team 22,Outline of the next steps (10),10.0,10.0,100.0
Team 22,Recording is present (2),2.0,2.0,100.0
Team 23,Structure (10),10.0,9.0,90.0
Team 23,Grammar (2),2.0,2.0,100.0
Team 23,Roles (5),5.0,5.0,100.0
Team 23,Open and closed questions (5),3.0,5.0,60.0
Team 23,Questions structured (5),3.0,5.0,60.0
Team 23,Questions relevant (5),5.0,5.0,100.0
Team 23,General to specific questions (5),4.0,5.0,80.0
Team 23,Transcript (5),5.0,5.0,100.0
Team 23,Table easy to read (5),5.0,4.0,80.0
Team 23,Products and features are relevant to what customer wants (8),8.0,8.0,100.0
Team 23,Summarizing critical points of interview (10),10.0,10.0,100.0
Team 23,Clear learning points (10),10.0,10.0,100.0
Team 23,Questions the team still has (10),10.0,10.0,100.0
Team 23,Outline of the next steps (10),10.0,10.0,100.0
Team 23,Recording is present (2),2.0,2.0,100.0
Team 24,Structure (10),7.0,7.0,100.0
Team 24,Grammar (2),2.0,1.0,50.0
Team 24,Roles (5),5.0,5.0,100.0
Team 24,Open and closed questions (5),4.0,4.0,100.0
Team 24,Questions structured (5),5.0,4.0,80.0
Team 24,Questions relevant (5),4.0,5.0,80.0
Team 24,General to specific questions (5),4.0,5.0,80.0
Team 24,Transcript (5),1.0,3.0,60.0
Team 24,Table easy to read (5),4.0,4.0,100.0
Team 24,Products and features are relevant to what customer wants (8),6.0,7.0,87.5
Team 24,Summarizing critical points of interview (10),10.0,6.0,60.0
Team 24,Clear learning points (10),10.0,4.0,40.0
Team 24,Questions the team still has (10),10.0,3.0,30.0
Team 24,Outline of the next steps (10),10.0,5.0,50.0
Team 24,Recording is present (2),0.0,2.0,0.0
Team 25,Structure (10),10.0,8.0,80.0
Team 25,Grammar (2),2.0,2.0,100.0
Team 25,Roles (5),5.0,5.0,100.0
Team 25,Open and closed questions (5),5.0,4.0,80.0
Team 25,Questions structured (5),5.0,4.0,80.0
Team 25,Questions relevant (5),5.0,5.0,100.0
Team 25,General to specific questions (5),5.0,5.0,100.0
Team 25,Transcript (5),5.0,3.0,60.0
Team 25,Table easy to read (5),5.0,5.0,100.0
Team 25,Products and features are relevant to what customer wants (8),7.0,8.0,87.5
Team 25,Summarizing critical points of interview (10),10.0,8.0,80.0
Team 25,Clear learning points (10),4.0,6.0,80.0
Team 25,Questions the team still has (10),4.0,0.0,60.0
Team 25,Outline of the next steps (10),8.0,0.0,20.0
Team 25,Recording is present (2),2.0,2.0,100.0
Team 26,Structure (10),10.0,8.0,80.0
Team 26,Grammar (2),2.0,2.0,100.0
Team 26,Roles (5),5.0,5.0,100.0
Team 26,Open and closed questions (5),5.0,5.0,100.0
Team 26,Questions structured (5),5.0,5.0,100.0
Team 26,Questions relevant (5),5.0,5.0,100.0
Team 26,General to specific questions (5),5.0,5.0,100.0
Team 26,Transcript (5),5.0,5.0,100.0
Team 26,Table easy to read (5),3.0,3.0,100.0
Team 26,Products and features are relevant to what customer wants (8),8.0,8.0,100.0
Team 26,Summarizing critical points of interview (10),10.0,10.0,100.0
Team 26,Clear learning points (10),7.0,7.0,100.0
Team 26,Questions the team still has (10),10.0,10.0,100.0
Team 26,Outline of the next steps (10),10.0,10.0,100.0
Team 26,Recording is present (2),2.0,2.0,100.0
Team 27,Structure (10),10.0,10.0,100.0
Team 27,Grammar (2),2.0,2.0,100.0
Team 27,Roles (5),5.0,5.0,100.0
Team 27,Open and closed questions (5),5.0,5.0,100.0
Team 27,Questions structured (5),5.0,5.0,100.0
Team 27,Questions relevant (5),5.0,5.0,100.0
Team 27,General to specific questions (5),5.0,5.0,100.0
Team 27,Transcript (5),5.0,4.0,80.0
Team 27,Table easy to read (5),5.0,5.0,100.0
Team 27,Products and features are relevant to what customer wants (8),8.0,8.0,100.0
Team 27,Summarizing critical points of interview (10),6.0,10.0,60.0
Team 27,Clear learning points (10),7.0,8.0,90.0
Team 27,Questions the team still has (10),10.0,10.0,100.0
Team 27,Outline of the next steps (10),10.0,10.0,100.0
Team 27,Recording is present (2),2.0,2.0,100.0
Team 28,Structure (10),10.0,9.0,90.0
Team 28,Grammar (2),2.0,1.0,50.0
Team 28,Roles (5),5.0,5.0,100.0
Team 28,Open and closed questions (5),5.0,5.0,100.0
Team 28,Questions structured (5),5.0,5.0,100.0
Team 28,Questions relevant (5),5.0,5.0,100.0
Team 28,General to specific questions (5),5.0,5.0,100.0
Team 28,Transcript (5),5.0,5.0,100.0
Team 28,Table easy to read (5),5.0,4.0,80.0
Team 28,Products and features are relevant to what customer wants (8),8.0,8.0,100.0
Team 28,Summarizing critical points of interview (10),10.0,10.0,100.0
Team 28,Clear learning points (10),8.0,9.0,90.0
Team 28,Questions the team still has (10),8.0,0.0,20.0
Team 28,Outline of the next steps (10),10.0,10.0,100.0
Team 28,Recording is present (2),2.0,2.0,100.0
Team 29,Structure (10),10.0,10.0,100.0
Team 29,Grammar (2),2.0,2.0,100.0
Team 29,Roles (5),5.0,5.0,100.0
Team 29,Open and closed questions (5),5.0,5.0,100.0
Team 29,Questions structured (5),5.0,5.0,100.0
Team 29,Questions relevant (5),5.0,5.0,100.0
Team 29,General to specific questions (5),5.0,5.0,100.0
Team 29,Transcript (5),5.0,5.0,100.0
Team 29,Table easy to read (5),5.0,5.0,100.0
Team 29,Products and features are relevant to what customer wants (8),8.0,8.0,100.0
Team 29,Summarizing critical points of interview (10),10.0,10.0,100.0
Team 29,Clear learning points (10),10.0,10.0,100.0
Team 29,Questions the team still has (10),10.0,8.0,80.0
Team 29,Outline of the next steps (10),10.0,10.0,100.0
Team 29,Recording is present (2),2.0,2.0,100.0
Team 30,Structure (10),10.0,10.0,100.0
Team 30,Grammar (2),2.0,2.0,100.0
Team 30,Roles (5),5.0,5.0,100.0
Team 30,Open and closed questions (5),5.0,5.0,100.0
Team 30,Questions structured (5),5.0,5.0,100.0
Team 30,Questions relevant (5),5.0,5.0,100.0
Team 30,General to specific questions (5),5.0,5.0,100.0
Team 30,Transcript (5),5.0,5.0,100.0
Team 30,Table easy to read (5),5.0,5.0,100.0
Team 30,Products and features are relevant to what customer wants (8),8.0,8.0,100.0
Team 30,Summarizing critical points of interview (10),10.0,10.0,100.0
Team 30,Clear learning points (10),10.0,10.0,100.0
Team 30,Questions the team still has (10),9.0,10.0,90.0
Team 30,Outline of the next steps (10),10.0,10.0,100.0
Team 30,Recording is present (2),2.0,2.0,100.0
Team 31,Structure (10),10.0,7.0,70.0
Team 31,Grammar (2),2.0,1.0,50.0
Team 31,Roles (5),5.0,5.0,100.0
Team 31,Open and closed questions (5),5.0,5.0,100.0
Team 31,Questions structured (5),5.0,4.0,80.0
Team 31,Questions relevant (5),5.0,5.0,100.0
Team 31,General to specific questions (5),5.0,4.0,80.0
Team 31,Transcript (5),5.0,5.0,100.0
Team 31,Table easy to read (5),5.0,4.0,80.0
Team 31,Products and features are relevant to what customer wants (8),8.0,7.0,87.5
Team 31,Summarizing critical points of interview (10),7.0,8.0,90.0
Team 31,Clear learning points (10),9.0,7.0,80.0
Team 31,Questions the team still has (10),10.0,7.0,70.0
Team 31,Outline of the next steps (10),10.0,10.0,100.0
Team 31,Recording is present (2),0.0,0.0,100.0
Team 32,Structure (10),10.0,9.0,90.0
Team 32,Grammar (2),2.0,1.0,50.0
Team 32,Roles (5),5.0,5.0,100.0
Team 32,Open and closed questions (5),5.0,4.0,80.0
Team 32,Questions structured (5),5.0,5.0,100.0
Team 32,Questions relevant (5),5.0,5.0,100.0
Team 32,General to specific questions (5),5.0,4.0,80.0
Team 32,Transcript (5),5.0,5.0,100.0
Team 32,Table easy to read (5),5.0,4.0,80.0
Team 32,Products and features are relevant to what customer wants (8),8.0,8.0,100.0
Team 32,Summarizing critical points of interview (10),9.0,9.0,100.0
Team 32,Clear learning points (10),8.0,8.0,100.0
Team 32,Questions the team still has (10),10.0,10.0,100.0
Team 32,Outline of the next steps (10),10.0,10.0,100.0
Team 32,Recording is present (2),2.0,2.0,100.0
Team 33,Structure (10),10.0,10.0,100.0
Team 33,Grammar (2),2.0,1.0,50.0
Team 33,Roles (5),5.0,5.0,100.0
Team 33,Open and closed questions (5),5.0,5.0,100.0
Team 33,Questions structured (5),5.0,5.0,100.0
Team 33,Questions relevant (5),5.0,5.0,100.0
Team 33,General to specific questions (5),5.0,5.0,100.0
Team 33,Transcript (5),5.0,5.0,100.0
Team 33,Table easy to read (5),5.0,5.0,100.0
Team 33,Products and features are relevant to what customer wants (8),8.0,7.0,87.5
Team 33,Summarizing critical points of interview (10),10.0,9.0,90.0
Team 33,Clear learning points (10),8.0,9.0,90.0
Team 33,Questions the team still has (10),10.0,10.0,100.0
Team 33,Outline of the next steps (10),10.0,10.0,100.0
Team 33,Recording is present (2),2.0,2.0,100.0
Team 34,Structure (10),8.0,8.0,100.0
Team 34,Grammar (2),2.0,1.5,75.0
Team 34,Roles (5),5.0,5.0,100.0
Team 34,Open and closed questions (5),5.0,5.0,100.0
Team 34,Questions structured (5),5.0,5.0,100.0
Team 34,Questions relevant (5),5.0,5.0,100.0
Team 34,General to specific questions (5),4.0,5.0,80.0
Team 34,Transcript (5),5.0,3.0,60.0
Team 34,Table easy to read (5),5.0,4.0,80.0
Team 34,Products and features are relevant to what customer wants (8),8.0,8.0,100.0
Team 34,Summarizing critical points of interview (10),9.0,8.0,90.0
Team 34,Clear learning points (10),7.0,5.0,80.0
Team 34,Questions the team still has (10),6.0,0.0,40.0
Team 34,Outline of the next steps (10),10.0,7.0,70.0
Team 34,Recording is present (2),0.0,0.0,100.0
Team 35,Structure (10),10.0,9.0,90.0
Team 35,Grammar (2),2.0,2.0,100.0
Team 35,Roles (5),5.0,5.0,100.0
Team 35,Open and closed questions (5),5.0,5.0,100.0
Team 35,Questions structured (5),5.0,5.0,100.0
Team 35,Questions relevant (5),5.0,5.0,100.0
Team 35,General to specific questions (5),4.0,5.0,80.0
Team 35,Transcript (5),5.0,5.0,100.0
Team 35,Table easy to read (5),5.0,4.0,80.0
Team 35,Products and features are relevant to what customer wants (8),8.0,8.0,100.0
Team 35,Summarizing critical points of interview (10),10.0,10.0,100.0
Team 35,Clear learning points (10),9.0,10.0,90.0
Team 35,Questions the team still has (10),10.0,10.0,100.0
Team 35,Outline of the next steps (10),10.0,10.0,100.0
Team 35,Recording is present (2),2.0,2.0,100.0
Team 36,Structure (10),9.0,9.0,100.0
Team 36,Grammar (2),1.0,2.0,50.0
Team 36,Roles (5),5.0,5.0,100.0
Team 36,Open and closed questions (5),5.0,5.0,100.0
