Team,Criterion,Ref Score,Model Score,Similarity (%)
Team 9,Roles (5),5.0,5.0,100.0
Team 9,Open and closed questions (5),5.0,5.0,100.0
Team 9,Questions structured (5),5.0,4.0,80.0
Team 9,Questions relevant (5),5.0,5.0,100.0
Team 9,General to specific questions (5),5.0,4.0,80.0
Team 9,Transcript (5),5.0,3.0,60.0
Team 9,Table easy to read (5),5.0,4.0,80.0
Team 9,Products and features are relevant to what customer wants (8),8.0,7.0,87.5
Team 9,Summarizing critical points of interview (10),10.0,8.0,80.0
Team 9,Clear learning points (10),10.0,9.0,90.0
Team 9,Questions the team still has (10),10.0,8.0,80.0
Team 9,Outline of the next steps (10),8.0,9.0,87.5
Team 9,Recording is present (2),2.0,2.0,100.0
Team 10,Structure (10),9.0,8.0,88.9
Team 10,Grammar (2),2.0,2.0,100.0
Team 10,Roles (5),5.0,5.0,100.0
Team 10,Open and closed questions (5),5.0,4.0,80.0
Team 10,Questions structured (5),5.0,4.0,80.0
Team 10,Questions relevant (5),4.0,5.0,75.0
Team 10,General to specific questions (5),4.0,4.0,100.0
Team 10,Transcript (5),5.0,5.0,100.0
Team 10,Table easy to read (5),4.0,4.0,100.0
Team 10,Products and features are relevant to what customer wants (8),8.0,7.0,87.5
Team 10,Summarizing critical points of interview (10),10.0,8.0,80.0
Team 10,Clear learning points (10),10.0,9.0,90.0
Team 10,Questions the team still has (10),10.0,9.0,90.0
Team 10,Outline of the next steps (10),10.0,9.0,90.0
Team 10,Recording is present (2),0.0,0.0,100.0
